Model,Accuracy,Precision,Recall,F1 Score,ROC AUC Score
CNN-LSTM,0.9403929403929404,0.4089068825910931,0.25093167701863356,0.31100846805234794,0.6151913838998868
LSTM,0.9462537462537463,0.4411764705882353,0.009316770186335404,0.018248175182481754,0.5043241134534774
Dense,0.9461538461538461,0.4936936936936937,0.1701863354037267,0.2531177829099307,0.5801494660832849
